Name,Type,Master,X,Y
FE_DBTC1996_net_65837,inst,INVxp67_ASAP7_75t_SL,67.608,83.106
FE_DBTC1995_net_61996,inst,INVx2_ASAP7_75t_SL,54.27,113.346
FE_DBTC1994_net_55028,inst,INVxp67_ASAP7_75t_SL,3.888,186.246
FE_DBTC1993_net_16590,inst,INVx2_ASAP7_75t_SL,57.942,105.786
FE_DBTC1992_net_66290,inst,INVxp67_ASAP7_75t_SL,56.646,97.146
FE_DBTC1991_net_54477,inst,INVxp67_ASAP7_75t_SL,102.006,72.846
FE_DBTC1990_FE_RN_5294_0,inst,INVxp67_ASAP7_75t_SL,28.944,57.726
FE_DBTC1989_net_78749,inst,INVxp67_ASAP7_75t_SL,21.546,47.466
FE_DBTC1988_net_52411,inst,INVxp67_ASAP7_75t_SL,1.998,160.866
FE_DBTC1987_net_66161,inst,INVx1_ASAP7_75t_L,53.082,100.386
FE_DBTC1986_net_126077,inst,INVxp67_ASAP7_75t_R,41.256,71.766
FE_DBTC1985_net_66307,inst,INVxp67_ASAP7_75t_SL,61.236,73.926
FE_DBTC1984_net_61317,inst,INVx2_ASAP7_75t_SL,48.762,99.306
FE_DBTC1983_net_61459,inst,INVxp67_ASAP7_75t_R,60.642,110.646
FE_DBTC1982_net_52247,inst,INVxp67_ASAP7_75t_SL,4.05,161.406
FE_DBTC1981_net_52246,inst,INVxp67_ASAP7_75t_SL,3.942,160.866
FE_DBTC1980_net_61313,inst,INVx1_ASAP7_75t_SL,51.948,100.386
FE_DBTC1979_net_60153,inst,INVxp67_ASAP7_75t_R,46.98,101.466
FE_DBTC1978_net_63219,inst,INVx1_ASAP7_75t_SL,44.442,69.606
FE_DBTC1977_net_64129,inst,INVxp67_ASAP7_75t_SL,56.43,65.286
FE_DBTC1976_net_78178,inst,INVxp67_ASAP7_75t_R,25.272,48.006
FE_DBTC1975_FE_RN_5817_0,inst,INVxp67_ASAP7_75t_R,34.83,100.926
FE_DBTC1974_net_66690,inst,INVxp67_ASAP7_75t_R,39.69,82.566
FE_DBTC1973_net_62537,inst,INVx2_ASAP7_75t_SL,44.226,101.466
FE_DBTC1972_net_125630,inst,INVxp67_ASAP7_75t_SL,43.308,107.946
FE_DBTC1971_net_76865,inst,INVxp67_ASAP7_75t_SL,38.61,64.206
FE_DBTC1970_net_65451,inst,INVx2_ASAP7_75t_SL,61.074,75.006
FE_DBTC1969_net_60776,inst,INVx1_ASAP7_75t_SL,29.754,96.066
FE_DBTC1968_net_69441,inst,INVx1_ASAP7_75t_R,88.668,91.746
FE_DBTC1967_net_126132,inst,INVx2_ASAP7_75t_SL,52.812,92.826
FE_DBTC1966_net_125736,inst,INVx2_ASAP7_75t_SL,42.984,83.646
FE_DBTC1965_net_52343,inst,INVxp67_ASAP7_75t_SL,2.7,135.486
FE_DBTC1964_FE_RN_5526_0,inst,INVxp67_ASAP7_75t_SL,2.322,134.406
FE_DBTC1963_FE_RN_5047_0,inst,INVxp67_ASAP7_75t_SL,1.836,134.946
FE_DBTC1962_net_72016,inst,INVxp67_ASAP7_75t_R,80.082,100.926
FE_DBTC1961_net_71413,inst,INVxp67_ASAP7_75t_SL,87.264,101.466
FE_DBTC1960_FE_RN_4806_0,inst,INVxp67_ASAP7_75t_R,30.186,56.646
FE_DBTC1959_net_78463,inst,INVxp67_ASAP7_75t_R,28.35,58.806
FE_DBTC1958_net_72204,inst,INVxp67_ASAP7_75t_SL,89.532,99.846
FE_DBTC1957_FE_OCPN132774_net_71472,inst,INVxp67_ASAP7_75t_SL,84.078,93.366
FE_DBTC1956_net_63448,inst,INVx1_ASAP7_75t_R,64.26,101.466
FE_DBTC1955_net_76699,inst,INVxp33_ASAP7_75t_R,22.41,58.806
FE_DBTC1954_FE_RN_613_0,inst,INVxp67_ASAP7_75t_SL,48.006,63.666
FE_DBTC1953_net_125680,inst,INVxp67_ASAP7_75t_R,32.994,104.166
FE_DBTC1952_net_66485,inst,INVx2_ASAP7_75t_SL,54.378,102.546
FE_DBTC1951_net_66469,inst,INVxp33_ASAP7_75t_R,55.404,102.006
FE_DBTC1950_net_56602,inst,INVxp67_ASAP7_75t_R,12.852,72.306
FE_DBTC1949_net_66215,inst,INVx1_ASAP7_75t_SL,53.946,99.306
FE_DBTC1948_net_56506,inst,INVx1_ASAP7_75t_L,27.0,75.546
FE_DBTC1947_net_51221,inst,INVx2_ASAP7_75t_R,39.042,74.466
FE_DBTC1946_FE_RN_4836_0,inst,INVxp67_ASAP7_75t_SL,53.46,64.206
FE_DBTC1945_net_79086,inst,INVx1_ASAP7_75t_SL,30.78,57.186
FE_DBTC1944_FE_RN_4734_0,inst,INVxp67_ASAP7_75t_R,27.27,58.266
FE_DBTC1943_net_56635,inst,INVx2_ASAP7_75t_SL,12.204,66.906
FE_DBTC1942_net_62722,inst,INVx1_ASAP7_75t_SL,31.644,82.566
FE_DBTC1941_net_125856,inst,INVxp67_ASAP7_75t_R,57.186,69.066
FE_DBTC1940_net_62571,inst,INVx2_ASAP7_75t_L,48.546,96.606
FE_DBTC1939_net_62556,inst,INVxp33_ASAP7_75t_R,55.134,100.386
FE_DBTC1938_net_62226,inst,INVxp67_ASAP7_75t_SL,55.674,117.666
FE_DBTC1937_net_124210,inst,INVx2_ASAP7_75t_SL,59.832,114.426
FE_DBTC1936_net_62185,inst,INVx1_ASAP7_75t_SL,63.72,112.806
FE_DBTC1935_FE_RN_4309_0,inst,INVx1_ASAP7_75t_R,60.642,73.386
FE_DBTC1934_net_62772,inst,INVx2_ASAP7_75t_SL,63.72,102.006
FE_DBTC1933_FE_RN_4292_0,inst,INVx2_ASAP7_75t_SL,42.66,113.346
FE_DBTC1932_FE_RN_4253_0,inst,INVxp67_ASAP7_75t_SL,61.236,92.826
FE_DBTC1931_net_64392,inst,INVxp33_ASAP7_75t_R,66.204,76.086
FE_DBTC1930_net_66981,inst,INVx1_ASAP7_75t_R,61.938,98.226
FE_DBTC1929_FE_RN_4138_0,inst,INVxp67_ASAP7_75t_SL,57.78,70.146
